date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
20230315,59800,2,800,1.36,10305949,-1639734,352217,599064,350216,3025958110,50.69,770049,405915,24332
20230314,59000,5,-1000,-1.67,11261616,1686863,1892512,63322,-1837018,3024837845,50.67,470213,328876,19485
20230313,60000,2,500,0.84,11831548,-1201717,353950,-214278,642445,3026204650,50.69,569539,433433,26002
20230310,59500,5,-600,-1.00,11858460,2125822,-89016,982245,-1548237,3024992666,50.67,1248245,451601,26773
20230309,60100,5,-200,-0.33,13976635,1281759,4163127,-1771248,-1856294,3025292658,50.68,-1830748,148299,8922
20230308,60300,5,-400,-0.66,13931262,1725716,-2768676,2081657,-529340,3028979700,50.74,2349336,293621,17662
20230307,60700,5,-800,-1.30,11469975,1252802,37103,58197,-694093,3027159704,50.71,-150123,136361,8317
20230306,61500,2,1000,1.65,13156083,-3482906,989408,13980,1277008,3028003920,50.72,33980,437350,26831
20230303,60500,5,-300,-0.49,10669655,1200902,3043793,2271398,-3276986,3026692932,50.70,1529556,573518,34857
20230302,60800,2,200,0.33,13049056,-763199,-2999481,1168814,1381797,3028440362,50.73,1754127,516707,31552
20230228,60600,2,100,0.17,11812945,-678384,953891,-500965,135068,3025304438,50.68,-1040965,622964,37988
20230227,60500,5,-800,-1.31,11150697,2734507,-2634007,-1690234,746616,3026210335,50.69,-1209704,254291,15377
20230224,61300,5,-700,-1.13,10167790,1031209,187581,1186418,-1192904,3026673423,50.70,944147,620910,38569
20230223,62000,2,900,1.47,12948560,-1935219,1562165,1002597,-303057,3026922180,50.70,933597,70954,4404
20230222,61100,5,-1000,-1.61,11909088,2592646,-2371897,-163070,-70978,3026291640,50.69,793930,321697,19735
20230221,62100,5,-600,-0.96,7624592,1540869,-1516390,-106025,43273,3025568688,50.68,-296525,102858,6397
20230220,62700,2,100,0.16,12903247,217461,2577456,1249144,-2030935,3025821940,50.69,1670024,211556,13211
20230217,62600,5,-1100,-1.73,10696387,1246670,-2182072,695438,108348,3026182851,50.69,754438,235490,14818
20230216,63700,2,1500,2.41,13748358,-4280131,1164828,40179,1568454,3025320065,50.68,233119,502516,31704
20230215,62200,5,-1000,-1.58,13182477,2055116,-2677193,146958,223652,3023518492,50.65,142958,327410,20561
20230214,63200,2,300,0.48,9126664,-1715531,1356927,412937,-8746,3023151882,50.64,362937,331203,21047
20230213,62900,2,100,0.16,10700362,-211496,-1434492,2658788,-394198,3022797691,50.63,2972277,851041,53263
20230210,62800,5,-200,-0.32,9376576,416077,-2463660,1514289,246281,3020219612,50.59,2212352,546860,34245
20230209,63000,5,-100,-0.16,12164865,-185521,-2176432,665958,887260,3017760979,50.55,899358,387826,24394
20230208,63100,2,1200,1.94,12210425,-2205527,-1464996,2207628,781435,3015974361,50.52,2390628,321925,20277
20230207,61900,2,300,0.49,14491039,499023,-895735,695857,-132521,3012802298,50.47,1036557,296659,18397
