,date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
131,20230110,60400,5,-300,-0.49,14859797,9304110,-17692819,7570831,-4381629,2983523234,49.98,11918926,51131507,2987603
132,20230109,60700,2,1700,2.88,18640107,10871307,-18634084,6956978,-5073438,2983322381,49.97,11718073,50835999,2969801
133,20230106,59000,2,800,1.37,17334989,16539436,-21241929,3903514,-6593659,2979701881,49.91,8097573,50234410,2934501
134,20230105,58200,2,400,0.69,15682826,19287817,-21651308,1595216,-6977628,2977126583,49.87,5522275,49765498,2907238
135,20230104,57800,2,2400,4.33,20188071,20594978,-19432977,-1927442,-7857321,2974040575,49.82,2436267,49268496,2878946
136,20230103,55400,5,-100,-0.18,13547030,23609268,-19274263,-5027606,-9453797,2970400648,49.76,-1203660,49124126,2870999
137,20230102,55500,2,200,0.36,10031448,22349499,-17700499,-5335909,-9892233,2964905145,49.67,-6699163,49015451,2864938
138,20221229,55300,5,-1300,-2.30,11295935,21287096,-17222376,-4721812,-10502188,2965339762,49.67,-6264546,48960617,2861876
139,20221228,56600,5,-1500,-2.58,14665410,17918182,-15345275,-3195099,-10327668,2966676475,49.69,-4927833,48707221,2847509
140,20221227,58100,2,200,0.35,10667027,12765422,-13001164,-254003,-9209564,2970088904,49.75,-1515404,48605343,2841584
141,20221226,57900,5,-200,-0.34,6756411,15491717,-17606584,1273380,-8962039,2971666287,49.78,61979,48493905,2835132
142,20221223,58100,5,-1000,-1.69,9829407,16741125,-20118912,2342409,-8662278,2972400331,49.79,796023,47673098,2787522
143,20221222,59100,2,1100,1.90,10720630,16672168,-20524994,2712645,-8542381,2978142067,49.89,6537759,47089585,2753303
144,20221221,58000,5,-600,-1.02,10356971,18175509,-23062913,3567373,-9665682,2979216295,49.90,7611987,46912454,2742988
145,20221220,58600,5,-900,-1.51,9284761,16691689,-23303406,5264661,-8936007,2981767754,49.95,10163446,46742190,2732978
146,20221219,59500,3,0,0.00,7696187,15369019,-23508547,6808002,-7905194,2983446095,49.98,11841787,46516990,2719598
147,20221216,59500,2,200,0.34,13033596,15751162,-24081492,6971857,-7455525,2984480968,49.99,12876660,45766718,2675277
148,20221215,59300,5,-1200,-1.98,8716039,15365150,-21164611,4441492,-8615846,2982263753,49.96,10659445,45577894,2664010
149,20221214,60500,2,800,1.34,8207485,13841692,-19655805,4466464,-8684792,2982290225,49.96,10685917,45326244,2648830
150,20221213,59700,2,200,0.34,9040873,16190073,-20632541,3077093,-10199194,2981218354,49.94,9614046,44951795,2626490
151,20221212,59500,5,-900,-1.49,9036472,16162768,-20654697,3144875,-9995034,2980543814,49.93,8939506,44898964,2623342
152,20221209,60400,2,1200,2.03,10529632,14865854,-20104789,3886504,-9088997,2980990765,49.93,9386457,44493879,2599060
153,20221208,59200,2,300,0.51,12986815,17291038,-22361030,3684853,-8632617,2980406091,49.92,8801783,44009521,2570489
154,20221207,58900,5,-300,-0.51,12100662,17046796,-22576905,4148450,-7968944,2980779688,49.93,9175380,43669103,2550385
155,20221206,59200,5,-1100,-1.82,13888300,16242690,-22915479,5297671,-7282724,2981696169,49.95,10091861,43507857,2540775
156,20221205,60300,5,-100,-0.17,13767787,13495145,-22129752,7250237,-7548804,2984654935,50.00,13050627,43077228,2514758
157,20221202,60400,5,-2200,-3.51,15331184,12375027,-22762474,9015061,-5160284,2987132709,50.04,15528401,42634869,2487703
158,20221201,62600,2,400,0.64,16631445,7928887,-20718198,11501545,-2410844,2988724193,50.06,17119885,41388677,2409480
159,20221130,62200,2,1600,2.64,19768903,11408218,-20951334,8375064,-5137101,2985680848,50.01,14076540,40499379,2354627
160,20221129,60600,2,500,0.83,7014160,14468580,-18723847,2801526,-9219481,2980158310,49.92,8554002,40071301,2328883
161,20221128,60100,5,-900,-1.48,8589032,14809617,-19335091,3075415,-9458929,2980114799,49.92,8510491,39891473,2318076
162,20221125,61000,5,-400,-0.65,6677933,13775881,-18021046,2873024,-9370536,2979715110,49.91,8110802,39660110,2303947
163,20221124,61400,2,400,0.66,8125010,13790618,-17640325,2451888,-9806130,2979064174,49.90,7459866,39431852,2289969
