date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value,shcode
20200406,7640,5,-340,-4.26,41985940,576971,-738718,37667,0,1144286,2.80,37667,0,0,251340
20200403,7980,5,-10,-0.13,69792117,3646044,-2528657,-1192778,0,1106619,2.91,-1192778,0,0,251340
20200402,7990,5,-305,-3.68,74821826,-3483546,2556814,994173,0,2299397,7.98,994173,0,0,251340
20200401,8295,2,325,4.08,114032731,1925036,-2497298,419069,0,1305224,4.93,419069,0,0,251340
20200331,7970,5,-475,-5.62,90533173,9503395,-9179150,-364925,0,886155,3.46,-364925,0,0,251340
20200330,8445,5,-240,-2.76,60256372,3628314,-2709606,-998071,0,1251080,5.99,-998071,0,0,251340
20200327,8685,5,-145,-1.64,99016816,368212,-479646,87552,0,2249151,11.36,87552,0,0,251340
20200326,8830,3,0,0.00,86217267,4418342,-4520175,92452,0,2161599,10.49,92452,0,0,251340
20200325,8830,5,-340,-3.71,57068745,952728,-1090008,59556,0,2069147,11.01,59556,0,0,251340
20200324,9170,5,-1020,-10.01,50143521,2590567,-548740,-1983424,0,2009591,11.48,-1983424,0,0,251340
20200323,10190,2,615,6.42,66052387,-771908,540299,219633,0,3993015,17.75,219633,0,0,251340
20200320,9575,5,-1030,-9.71,58205821,2850911,-2336381,-544044,0,3773382,17.80,-544044,0,0,251340
20200319,10605,2,845,8.66,100534999,-6540317,6867782,-289592,0,4317426,20.08,-289592,0,0,251340
20200318,9760,2,595,6.49,73548674,351789,-1003257,588510,0,4607018,23.63,588510,0,0,251340
20200317,9165,5,-435,-4.53,68829336,-298542,163056,191194,0,4018508,17.40,191194,0,0,251340
20200316,9600,2,325,3.50,73509336,3540589,-3987562,419090,0,3827314,15.75,419090,0,0,251340
20200313,9275,2,490,5.58,64536832,-2614520,2852877,-276386,0,3408224,13.52,-276386,0,0,251340
20200312,8785,2,330,3.90,71948779,-1726786,3120584,-1387081,0,3684610,13.70,-1387081,0,0,251340
20200311,8455,2,365,4.51,42182283,-899707,-67227,984073,0,5071691,17.80,984073,0,0,251340
20200310,8090,5,-160,-1.94,34279652,-3099245,3406119,-156687,0,4087618,15.31,-156687,0,0,251340
20200309,8250,2,310,3.90,37389855,-2210751,2173081,18392,0,4244305,17.39,18392,0,0,251340
20200306,7940,2,80,1.02,26908575,742900,-1745640,1001532,0,4225913,17.53,1001532,0,0,251340
20200305,7860,5,-110,-1.38,25469600,2409031,-2474773,9828,0,3224381,13.11,9828,0,0,251340
20200304,7970,5,-135,-1.67,27180032,-1599076,-169831,2018639,0,3214553,13.56,2018639,0,0,251340
20200303,8105,2,40,0.50,33964539,293229,-657889,95186,0,1195914,4.58,95186,0,0,251340
20200302,8065,5,-260,-3.12,40584836,2845043,-2422442,-204050,0,1100728,4.30,-204050,0,0,251340
20200228,8325,2,300,3.74,49879296,-4308392,4062192,184648,0,1304778,5.39,184648,0,0,251340
20200227,8025,2,140,1.78,48224103,738362,-651317,-186968,0,1120130,4.50,-186968,0,0,251340
20200226,7885,5,-10,-0.13,41063050,1411334,-1616075,352300,0,1307098,4.82,352300,0,0,251340
20200225,7895,5,-300,-3.66,38350254,429687,132833,-147338,0,954798,3.43,-147338,0,0,251340
20200224,8195,2,325,4.13,37345527,-2704641,2991923,55876,0,1102136,4.04,55876,0,0,251340
20200221,7870,2,195,2.54,25153841,98131,108760,-463628,0,1046260,3.67,-463628,0,0,251340
20200220,7675,2,50,0.66,24126675,-786698,775363,39816,0,1509888,5.43,39816,0,0,251340
20200219,7625,5,-20,-0.26,25889240,-1452881,1412680,37927,0,1470072,5.40,37927,0,0,251340
20200218,7645,2,120,1.59,20375305,13241,-162023,-37566,0,1432145,5.08,-37566,0,0,251340
20200217,7525,5,-35,-0.46,12982674,539135,-599940,55642,0,1469711,5.57,55642,0,0,251340
