date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
20210408,4540,5,-65,-1.41,27234980,3555964,-4030518,537475,0,4226369,4.70,537475,0,0
20210407,4605,3,0,0.00,16607015,813632,-581521,-273047,0,3688894,4.03,-273047,0,0
20210406,4605,2,25,0.55,15411348,-1000398,1052804,-30190,0,3961941,4.26,-30190,0,0
20210405,4580,2,30,0.66,13038516,-2475408,1730309,767428,0,3992131,4.33,767428,0,0
20210402,4550,3,0,0.00,15071891,-1865307,2001763,-130155,0,3224703,3.46,-130155,0,0
20210401,4550,5,-50,-1.09,21639626,511663,-457752,-61388,0,3354858,3.54,-61388,0,0
20210331,4600,2,25,0.55,21411890,-1428558,1759366,-311268,0,3416246,3.58,-311268,0,0
20210330,4575,3,0,0.00,17044919,-686137,539549,141800,0,3727514,3.85,141800,0,0
20210329,4575,2,25,0.55,22665777,46447,65797,-53048,0,3585714,3.67,-53048,0,0
20210326,4550,3,0,0.00,20966095,-1828000,2005973,-175805,0,3638762,3.79,-175805,0,0
20210325,4550,2,10,0.22,35759440,-1315326,1600788,225780,0,3814567,4.01,225780,0,0
20210324,4540,5,-50,-1.09,39060059,3265028,-3536338,-232145,0,3588787,3.80,-232145,0,0
20210323,4590,2,25,0.55,45673535,-993233,1129138,-156150,0,3820932,4.17,-156150,0,0
20210322,4565,5,-20,-0.44,31171854,-871608,732782,117579,0,3977082,4.28,117579,0,0
20210319,4585,2,5,0.11,39712727,4235375,-4369191,11264,0,3859503,4.20,11264,0,0
20210318,4580,5,-15,-0.33,29329760,-1608383,1750089,-137477,0,3848239,4.26,-137477,0,0
20210317,4595,5,-5,-0.11,41214981,-160991,-7537,222490,0,3985716,4.42,222490,0,0
20210316,4600,5,-120,-2.54,30965891,3008193,-3297576,265246,0,3763226,4.22,265246,0,0
20210315,4720,2,30,0.64,32642471,-1096917,965313,493213,0,3497980,3.95,493213,0,0
20210312,4690,5,-95,-1.99,35631932,3261332,-3454413,-162184,0,3004767,3.40,-162184,0,0
20210311,4785,5,-105,-2.15,34400810,958226,-641216,-363000,0,3166951,3.51,-363000,0,0
20210310,4890,2,5,0.10,48721097,1395940,-898059,-385280,0,3529951,3.84,-385280,0,0
20210309,4885,2,35,0.72,74481545,-2322900,2372948,-15044,0,3915231,4.28,-15044,0,0
20210308,4850,2,110,2.32,40127832,-3021862,3084399,174153,0,3930275,4.39,174153,0,0
20210305,4740,5,-15,-0.32,53011109,-249171,304494,-77836,0,3756122,4.22,-77836,0,0
20210304,4755,2,35,0.74,46777561,2726023,-2874091,-200289,0,3833958,4.24,-200289,0,0
20210303,4720,5,-35,-0.74,38011973,-324302,-233471,560337,0,4034247,4.47,560337,0,0
20210302,4755,5,-120,-2.46,50538068,785434,-405168,-348474,0,3473910,3.89,-348474,0,0
20210226,4875,2,140,2.96,52578493,-2545258,2151677,415027,0,3822384,4.23,415027,0,0
20210225,4735,5,-230,-4.63,46949031,3650764,-3542159,-1246,0,3407357,3.67,-1246,0,0
20210224,4965,2,150,3.12,77850545,-39895,426011,-545876,0,3408603,3.62,-545876,0,0
20210223,4815,2,110,2.34,44853173,-4676322,4580055,16295,0,3954479,4.22,16295,0,0
20210222,4705,2,100,2.17,30556140,-673849,962239,-275902,0,3938184,4.24,-275902,0,0
20210219,4605,5,-15,-0.32,43791466,-162579,285994,-103824,0,4214086,4.58,-103824,0,0
20210218,4620,2,55,1.20,29629333,373165,-607301,231046,0,4317910,4.56,231046,0,0
20210217,4565,2,30,0.66,27591164,867002,-466330,-455169,0,4086864,4.33,-455169,0,0
20210216,4535,2,75,1.68,36106729,-2842471,3056443,-198562,0,4542033,4.87,-198562,0,0
20210215,4460,5,-75,-1.65,25060028,261737,-1240343,988683,0,4740595,4.99,988683,0,0
20210210,4535,5,-15,-0.33,34087847,-700661,873868,-224414,0,3751912,3.95,-224414,0,0
20210209,4550,2,30,0.66,26264661,-151479,439961,-294060,0,3976326,4.15,-294060,0,0
20210208,4520,2,40,0.89,27099074,-1506589,1800252,-291473,0,4270386,4.54,-291473,0,0
20210205,4480,5,-15,-0.33,41349276,-940870,569484,376886,0,4561859,4.79,376886,0,0
20210204,4495,2,55,1.24,49021825,1764721,-1384575,-381619,0,4184973,4.32,-381619,0,0
20210203,4440,5,-15,-0.34,56222583,-403097,368159,29764,0,4566592,4.78,29764,0,0
20210202,4455,5,-5,-0.11,44284557,-3118176,3422918,42810,0,4536828,4.66,42810,0,0
20210201,4460,5,-195,-4.19,57500320,5125727,-4492960,-545679,0,4494018,4.67,-545679,0,0
20210129,4655,2,140,3.10,70909989,-3695010,1640778,1916774,0,5039697,5.12,1916774,0,0
20210128,4515,2,85,1.92,52701519,1560758,-1612148,-161824,0,3122923,3.20,-161824,0,0
20210127,4430,2,55,1.26,38525996,-2624976,3007543,-507317,0,3284747,3.39,-507317,0,0
20210126,4375,2,45,1.04,52777043,615420,-627931,-61134,0,3792064,3.93,-61134,0,0
20210125,4330,5,-145,-3.24,26439915,674331,-1158610,457141,0,3853198,3.90,457141,0,0
20210122,4475,2,15,0.34,30916790,1512111,-1076140,-441367,0,3396057,3.48,-441367,0,0
20210121,4460,2,10,0.22,28966146,-3921167,3402981,520737,0,3837424,3.85,520737,0,0
20210120,4450,5,-120,-2.63,57556139,4536244,-3236129,-1311983,0,3316687,3.33,-1311983,0,0
20210119,4570,5,-80,-1.72,45177814,-2826167,2860033,35906,0,4628670,4.67,35906,0,0
20210118,4650,2,135,2.99,68100917,-483295,-303597,857950,0,4592764,4.53,857950,0,0
20210115,4515,2,100,2.27,59044185,1319309,-486743,-919156,0,3734814,3.63,-919156,0,0
20210114,4415,2,45,1.03,36237676,-2268716,2071698,143318,0,4653970,4.54,143318,0,0
20210113,4370,3,0,0.00,37052864,-364055,-127739,510104,0,4510652,4.40,510104,0,0
20210112,4370,2,15,0.34,65662441,631038,-836132,148229,0,4000548,3.82,148229,0,0
20210111,4355,3,0,0.00,76036439,1398522,434306,-1598665,0,3852319,3.59,-1598665,0,0
20210108,4355,5,-30,-0.68,30968290,-3160304,3284930,-106459,0,5450984,5.16,-106459,0,0
20210107,4385,5,-35,-0.79,40531688,-6470598,4216943,2509330,0,5557443,5.28,2509330,0,0
20210106,4420,2,40,0.91,62987517,4503051,-3117931,-1650513,0,3048113,2.83,-1650513,0,0
20210105,4380,3,0,0.00,56917969,3060067,-1513085,-1573699,0,4698626,4.28,-1573699,0,0
20210104,4380,2,30,0.69,30814605,-3418553,4099911,-667448,0,6272325,5.72,-667448,0,0
20201230,4350,5,-10,-0.23,38974098,-5479027,3062830,2421492,0,6939773,6.19,2421492,0,0
20201229,4360,5,-150,-3.33,49089272,3584760,-1950045,-1592373,0,4518281,3.93,-1592373,0,0
20201228,4510,5,-35,-0.77,46377730,-2256645,3956042,-1665449,0,6110654,5.23,-1665449,0,0
20201224,4545,5,-60,-1.30,60294787,-2721238,672738,2046820,0,7776103,6.72,2046820,0,0
20201223,4605,2,20,0.44,91760451,-5283043,3229698,2058445,0,5729283,5.19,2058445,0,0
20201222,4585,2,145,3.27,78609263,-337256,2211570,-1783627,0,3670838,3.31,-1783627,0,0
20201221,4440,5,-75,-1.66,50852464,5589391,-5757233,138941,0,5454465,4.97,138941,0,0
20201218,4515,5,-10,-0.22,29360811,-169283,116872,50247,0,5315524,4.86,50247,0,0
20201217,4525,5,-25,-0.55,50703145,816517,-1648214,856547,0,5265277,4.79,856547,0,0
20201216,4550,5,-40,-0.87,37907612,363375,-639332,283953,0,4408730,4.05,283953,0,0
20201215,4590,2,5,0.11,72963847,280162,939169,-1217824,0,4124777,3.82,-1217824,0,0
20201214,4585,5,-25,-0.54,67312817,417660,-900616,488434,0,5342601,5.15,488434,0,0
20201211,4610,5,-45,-0.97,42231213,1769225,-1455654,-274466,0,4854167,4.62,-274466,0,0
20201210,4655,5,-55,-1.17,59378264,4957940,-4094934,-901818,0,5128633,4.79,-901818,0,0
20201209,4710,5,-40,-0.84,70793482,-48430,1515151,-1452370,0,6030451,6.02,-1452370,0,0
20201208,4750,2,185,4.05,88850709,-7222647,3854069,3298354,0,7482821,7.60,3298354,0,0
20201207,4565,5,-170,-3.59,67691547,6386028,-5857514,-549313,0,4184467,4.41,-549313,0,0
20201204,4735,5,-100,-2.07,44232330,65217,-1130868,1088139,0,4733780,4.99,1088139,0,0
20201203,4835,5,-85,-1.73,41922353,3874490,-3398060,-430763,0,3645641,3.78,-430763,0,0
20201202,4920,5,-60,-1.20,45078743,1059402,89294,-467046,0,4076404,4.26,-467046,0,0
20201201,4980,5,-45,-0.90,41225872,-1344204,1721606,-374136,0,4543450,4.83,-374136,0,0
20201130,5025,2,10,0.20,58000829,1098418,-1102183,438537,0,4917586,5.29,438537,0,0
20201127,5015,5,-85,-1.67,48154044,2399035,-2742454,347022,0,4479049,4.83,347022,0,0
20201126,5100,5,-85,-1.64,67906007,937044,-1440717,259924,0,4132027,4.35,259924,0,0
20201125,5185,2,20,0.39,91948820,4341428,-3587184,-1234374,0,3872103,4.08,-1234374,0,0
20201124,5165,2,40,0.78,46743519,-1716871,2352899,-694339,0,5106477,5.39,-694339,0,0
20201123,5125,5,-25,-0.49,35796981,-1424820,725256,794419,0,5800816,6.16,794419,0,0
20201120,5150,5,-65,-1.25,39401088,171887,55168,-102020,0,5006397,5.32,-102020,0,0
20201119,5215,5,-80,-1.51,60475734,664022,-572597,193522,0,5108417,5.32,193522,0,0
20201118,5295,5,-90,-1.67,48059764,3146189,-1468740,-1490618,0,4914895,5.01,-1490618,0,0
